Name,Injury Control 1,Injury Control 2,Injury Control 3,Serratia Infection 1,Serratia Infection 2,Serratia Infection 3,AhR antagonist + Serratia Infection 1,AhR antagonist + Serratia Infection 2,AhR antagonist + Serratia Infection 3,dsAhR + Serratia Infection 1,dsAhR + Serratia Infection 2,dsAhR + Serratia Infection 3,dsTieg + Serratia Infection 1,dsTieg + Serratia Infection 2,dsTieg + Serratia Infection 3,dsGFP + Serratia Infection 1,dsGFP + Serratia Infection 2,dsGFP + Serratia Infection 3
KIBRLG,2747,4038,3409,4409,4206,3618,3321,4081,4252,3272,744,3232,2443,3345,3288,3173,4127,4586
AgaP_AGAP000005,5283,6788,6375,6846,7840,6314,6217,7230,7008,6157,1913,6950,4843,6302,6038,5253,6743,6722
IGL1,2843,2881,3135,3584,3952,3791,2293,2829,3072,6153,2114,5958,4530,5534,5247,3855,4526,4740
AgaP_AGAP000008,2794,4236,3859,4247,4305,3341,3330,4066,4646,3656,1789,4101,3000,3931,3529,3125,4201,4639
AgaP_AGAP000009,503,406,504,548,502,480,378,428,430,805,235,865,659,709,699,500,562,639
AgaP_AGAP013683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AgaP_AGAP000010,491,608,572,642,660,492,431,563,570,771,340,787,938,980,997,808,935,1034
AgaP_AGAP000011,4732,3121,3936,3959,4591,3738,2850,3593,3611,6571,2986,11284,9478,11183,7940,6289,7151,6650
TTRNA1,322,381,353,274,398,292,250,397,340,607,689,525,588,674,562,689,701,818
AgaP_AGAP000013,467,594,510,555,641,537,442,605,601,568,225,547,342,526,546,474,516,617
AgaP_AGAP000014,128,155,121,123,211,285,108,77,104,118,127,142,195,177,182,243,156,280
AgaP_AGAP000015,420,432,382,327,385,312,310,385,323,600,60,591,383,524,454,386,369,467
SCRB10,438,245,305,244,276,236,137,221,123,874,1121,1040,771,709,785,949,948,1002
AgaP_AGAP000017,6543,6135,6023,6418,7770,6354,6190,6517,5866,8931,453,9031,5071,8081,7692,3297,3605,4895
AgaP_AGAP000018,890,1416,1216,1345,1531,1268,1142,1336,1411,688,34,511,272,536,579,442,718,733
AgaP_AGAP013651,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
